Date,Words,Total,Session
2/19/22,0,0,1250
2/25/22,0,0,1250
2/27/22,0,0,1250
2/28/22,1386,1386,1250
3/1/22,-1386,0,1250
3/2/22,0,0,1250
3/3/22,862,862,1250
3/8/22,0,862,1250
3/9/22,1071,1933,1250
3/10/22,2345,4278,1250
3/11/22,258,4536,1250
3/12/22,1825,6387,1250
3/14/22,1436,7820,1250
3/15/22,1216,9036,1250
3/17/22,791,9790,1250
3/18/22,826,10641,1250
3/20/22,1641,12294,1250
3/21/22,0,12294,1250
3/22/22,0,12294,1250
3/23/22,1359,13653,1250
3/24/22,1359,15012,1250
3/25/22,952,15957,1250
3/29/22,328,16285,1250
3/30/22,456,16741,1250
3/31/22,1232,17968,1250
4/1/22,903,18854,1250
4/3/22,2,18861,1250
4/4/22,2156,19978,1250
4/5/22,1449,21390,1250
4/6/22,365,21755,1250
4/8/22,789,0,1250
4/11/22,72,22653,1250
4/12/22,659,23312,1250
4/13/22,1106,24418,1250
4/14/22,1132,25550,1250
4/15/22,1110,0,1250
4/16/22,914,27574,1250
4/18/22,1233,28807,1250
4/19/22,1100,29870,1250
4/20/22,1876,31746,1250
4/21/22,656,32402,1250
4/22/22,838,33277,1250
4/23/22,2440,35717,1250
4/24/22,817,36534,1250
4/25/22,2100,0,1250
4/26/22,1252,39921,1250
4/27/22,1290,41211,1250
4/28/22,1419,42630,1250
4/29/22,1252,43847,1250
4/30/22,1185,44986,1250
5/1/22,239,45225,1250
5/2/22,435,45660,1250
5/3/22,602,46262,1250
5/4/22,696,46958,1250
5/5/22,1348,48343,1250
5/6/22,333,48676,1250
5/7/22,1013,49652,1250
5/8/22,1367,51019,1250
5/9/22,873,51892,1250
5/10/22,905,52819,1250
5/17/22,369,53188,1250
5/21/22,342,53530,1250
5/23/22,345,53875,1250
5/24/22,431,54306,1250
5/25/22,633,54939,1250
5/26/22,344,55283,1250
5/29/22,515,55798,1250
5/30/22,112,55910,1250
6/1/22,962,56872,1250
6/2/22,211,57061,1250
6/6/22,99,57158,1250
6/7/22,512,57670,1250
6/8/22,917,58587,1250
